Cayuga,Surface Segmentation,Underlying Form,Labeled Segmentation,Gloss,notes
hodahsehdǫhęgyeˀ,ho-dahsehd-ǫh-ę-gye-ˀ,ho-adahsehd-ǫh-a-gye-ˀ,3mso-hide-stat-j-prog-stat,he came out again there,
hesho:gye:nǫ:h,he-s-ho:-gye:-n-ǫ:h,he-s-ho-gye-n-ǫh,trans-rep-3mso-fly-dir-stat,he still flied there,
a̲ˀhǫwęnihnadogahs,a̲ˀ-hǫw-ęnihnadog-a-hs-.,aˀ-hǫwa-ęnihnadog-a-hs-.,fact-3ms>3ms-perceive-j-dat-punc,he perceived him,
a̲ˀhǫwatgahatgiht,a̲ˀ-hǫw-at-gah-a-tgi-ht-.,aˀ-hǫwa-at-gah-a-tgiht-.,fact-3ms>3ms-sr-eye-j-dirty-caus-punc,he gave him a dirty look,
nihodatsęhse:h,ni-ho-dat-sę-hse-:h,ni-ho-adad-hsę-hse-:h,part-3mso-refl-exhaust-dat-stat,how he exhausted himself,
de̲ˀhogwenyǫh,de̲ˀ-ho-gweny-ǫh,deˀ-ho-gweni-ǫh,neg-3mso-be.able-stat,he was unable,
a:hǫwahsre:ˀ,a:-hǫwa-hsre-:ˀ,a:-hǫwa-hsre-:ˀ,opt-3ms>3ms-chase-punc,he should chase him,
hesha:we:nǫ:h,he-s-ha:w-e:n-ǫ:h,he-s-ho-en-ǫh,trans-rep-3mso-go-stat,he went there,
heho:gye:nǫ:h,he-ho:-gye:-n-ǫ:h,he-ho-gye-n-ǫh,trans-3mso-fly-dir-stat,he flew there,
ęhaihowanaht,ę-ha-ih-owan-a-ht-.,ę-ha-rihw-owan-a-ht-.,fut-3msa-matter-big-j-caus-punc,he will praise,
ęshago̲ho:wiˀ,ę-shago̲-ho:wi-ˀ,ę-shago-howi-ˀ,fut-3msa>3p-tell-punc,he told them,
ni̲hoęni:yo:h,ni̲-ho-ęn-i:yo-:h,ni-ho-ręn-iyo-:h,part-3mso-song-be.good-stat,his song is good,
a̲ˀha:gwe:niˀ,a̲ˀ-ha:-gwe:ni-ˀ,aˀ-ha-gweni-ˀ,fact-3msa-be.able-punc,he was able,
aǫsaha:yǫˀ,aǫ-s-a-ha:-yǫ-ˀ,a:-s-a-ha-yǫ-ˀ,opt-rep-opt-3msa-arrive-punc,he should arrive again,
hayaˀda̲ˀgeh,ha-yaˀd-a̲ˀ-geh,ha-yaˀd-aˀ-geh,3msa-body-nsf-ex.loc,on his body,
dahoˀho:we:k,d-a-ho-ˀho:we:k-.,d-aˀ-ho-ˀhowek-.,cis-fact-3mso-cover-punc,it covered him,
a̲ˀhade̲hęh,a̲ˀ-h-ade̲-hęh-.,aˀ-ha-ade-hęh-.,fact-3msa-sr-be.embarrassed-punc,he was embarrassed,
a:haihowa:naht,a:-ha-ih-owa:n-a-ht-.,a:-ha-rihw-owan-a-ht-.,opt-3msa-matter-be.big-j-caus-punc,he should praise,
na̲ˀha:gye:ˀ,n-a̲ˀ-ha:-gye-:ˀ,ni-aˀ-ha-gye-:ˀ,part-fact-3msa-fly-punc,how he had flown,
ǫhwętsakda:gyeˀ,ǫhwęts-a-kda:-gye-ˀ,ǫhwęts-a-kda-gye-ˀ,land-j-be.near-prog-stat,near the ground,
saha:yǫˀ,s-a-ha:-yǫ-ˀ,s-aˀ-ha-yǫ-ˀ,rep-fact-3msa-arrive-punc,he arrived again,
hęna:dǫh,hęn-a:dǫ-h,hęn-adǫ-h,3mpa-say-hab,they say,
hǫwa:di:gęh,hǫwa:di:-gę-h,hǫwadi-gę-h,3p>3ms-see-stat,they have seen him,
hodrę:no:t,ho-d-rę:n-o:t-.,ho-ad-ręn-od-.,3mso-sr-song-stand-stat,he sings,
a̲ˀhadręno:dęˀ,a̲ˀ-h-ad-ręn-o:d-ęˀ,aˀ-ha-ad-ręn-od-ęˀ,fact-3msa-sr-song-stand-punc,he sang,
a̲ˀgaiˀsdę:daˀ,a̲ˀ-ga-iˀsd-ę:daˀ-.,aˀ-ga-riˀsd-ędaˀ-.,fact-3nsa-noise-end-punc,the noise ends,
a̲ˀhęnadahǫhsiyohs,a̲ˀ-hęn-ad-ahǫhs-iyo-hst-.,aˀ-hęn-ad-ahǫhs-iyo-hst-.,fact-3mpa-sr-ear-good-caus-punc,they listened,
hoę:no:t,ho-ę:n-o:t-.,ho-ręn-ot,3mso-song-stand-stat,he sung,
onatgǫˀshǫ:ˀah,on-atgǫ-ˀ-shǫˀ-ah,on-atgǫ-ˀ-shǫˀ-ah,3nso-be.evil-stat-dist-dim,they are evil,
aǫgo̲hdǫh,a-ǫgo̲hd-ǫh,yo-ǫgohd-ǫh,3nso-put.through.opening-stat,it surpasses,
odiya̲ˀda:tgiˀ,odi-ya̲ˀd-a:-tgi-ˀ,yodi-yaˀd-a-tgi-ˀ,3npo-body-j-dirty-stat,its body is dirty,
dęyonadawęnyeh,d-ę-yon-ad-awęnye-h,de-ę-yodi-adawęnye-h,dual-fut-3npo-sr-roam-punc,they will roam about,
onadowa:dǫh,on-adowa:d-ǫh,yodi-adowad-ǫh,3npo-hunt-stat,they hunt,
de̲ˀtgadiya:gęˀs,de̲ˀ-t-gadi-ya:gęˀ-s,deˀ-d-gadi-yagęˀ-s,neg-cis-3npa-go.out-hab,they do not go out,
deyohateˀ,de-yo-h-a-te-ˀ,de-yo-h-a-te-ˀ,dual-3nsp-dawn-j-be.bright-stat,it is dawn,
ohsdęhęgǫh,o-hsdęh-ę-gǫh,yo-hsdęh-a-gǫh,3nso-mountain-j-in.loc,in the mountains,
onadahsehdǫ̲hnǫˀ,on-ad-ahsehd-ǫ̲h-nǫ-ˀ,yodi-ad-ahsehd-ǫh-nǫ-ˀ,3npo-sr-hide-stat-stat.past,they hid,
odahsǫdatgi̲hdǫh,o-d-ahsǫd-a-tgi̲-hd-ǫh,yo-ad-ahsǫd-a-tgihd-ǫh,3nso-sr-night-j-be.dirty-caus-stat,the night is dirty/bad,
tgadiyagęˀs,t-gadi-yagęˀ-s,d-gadi-yagęˀ-s,cis-3npo-come.out-hab,they come out,
deyonadawęnyeˀhǫh,de-yon-ad-awęnye-ˀh-ǫh,de-yodi-adawęnye-ˀh-ǫh,dual-3npo-sr-roam-disl-stat,they roam about here and there,
agaǫhę:ˀęh,aga-ǫhę-:ˀ-ęh,yago-ǫhę-ˀ-ah,3fso-be.alone-stat-dim,she is alone,
onǫˀa:ˀgo:wah,o-nǫˀa-:ˀ-go:wah,yo-nǫˀar-aˀ-go:wah,3nso-head-nsf-augment,"flying head, lit. it’s a big head",
onǫˀa:ˀ,o-nǫˀa-:ˀ,yo-nǫˀar-aˀ,3nso-head-nsf,head,
de̲ˀgaya̲ˀdǫ:t,de̲ˀ-ga-ya̲ˀd-ǫ:t-.,deˀ-ga-yaˀd-ǫt-.,neg-3nsa-body-attach-stat,it has no body attached,
heyohe:h,he-yo-he:-h,he-yo-he-h,trans-3nso-be.more-stat,it is more,
nigahnadę:s,ni-ga-hn-a-dę:s-.,ni-ga-hn-a-dęs-.,part-3nsa-skin-j-be.thick-stat,its skin is so thick,
ta:gagweniˀ,t-a:-ga-gweni-ˀ,ti-a:-ga-gweni-ˀ,cont-opt-3nsa-be.possible-stat,it is impossible,
da:yo̲ˀehs,d-a:-yo̲-ˀehs-.,de-a:-yo-aˀehst-.,dual-opt-3nso-pierce-punc,it should pierce,
detsaǫ:h,de-ts-a-ǫ-:h,de-s-yo-ǫ-h,dual-rep-3nso-be.both-stat,it is both,
hęga:gye:ˀ,h-ę-ga:-gye-:ˀ,he-ę-ga-gye-:ˀ,trans-fut-3nsa-fly-punc,it will fly there,
hedwatshadęˀ,he-d-wa-tshad-ę-ˀ,he-d-w-atshad-ę-ˀ,trans-cis-3nso-moisture-fall-stat,the moisture falls,
hedwatshadǫ:gyeˀs,he-d-wa-tshad-ǫ:gye-ˀs,he-d-w-atshat-ǫgye-ˀs,trans-cis-3nso-moisture-fly-hab,the moisture floats,
dętga:gye:ˀ,d-ę-t-ga:-gye:-ˀ,de-ę-t-ga-gye-:ˀ,dual-fut-cis-3nsa-fly-punc,it will come flying,
ga̲hsaga̲hę:t,ga̲-hs-a-ga̲hę:t-.,ga-hs-a-gahęt-.,3nsa-mouth-j-be.opening-stat,mouth,
ganahnǫh,ga-nahn-ǫh,ga-nahn-ǫh,3nsa-be.full-stat,it is full,
onǫˀtsaˀ,o-nǫˀts-aˀ,yo-nǫˀts-aˀ,3nso-tooth-nsf,tooth,
ohyoˀti:yeht,o-hyoˀti:yeht-.,yo-hyoˀtiyeht-.,3nso-be.sharp-stat,it is sharp,
odǫˀǫh,o-dǫˀ-ǫh,yo-adǫˀ-ǫh,3nso-become-stat,it becomes,
dęwaˀehsdęˀ,d-ę-w-aˀehsd-ę-ˀ,de-ę-w-aˀehsd-ęˀ,dual-fut-3nsa-pierce-dat-punc,it will pierce,
agwe:gǫh,a-gwe:g-ǫh,a-gweg-ǫh,3nsa-be.all-stat,everything,
odowadǫh,o-dowad-ǫh,yo-adowad-ǫh,3nso-hunt-stat,it hunts,
heyo:doˀk,he-yo:-doˀk-.,he-yo-adǫˀkd-.,trans-3nso-be.end-stat,it is to the end,
nidyagoye:haˀ,ni-d-yago-ye:-haˀ,ni-d-yago-yer-haˀ,part-cis-3fso-do-hab,how they behave,
gowi:yaˀ,go-wi:y-aˀ,yago-wiy-aˀ,3fso-child-nsf,her child,
gonadeˀgwęh,gon-adeˀgw-ęh,gon-adeˀgw-ęh,3po-flee-stat,they have fled,
gonada̲hsehda̲hnǫh,gon-ad-a̲hsehd-a̲-hn-ǫh,gon-ad-ahsehd-a-hn-ǫh,3po-sr-hide-j-disloc-stat,they have gone and hid,
gagyehsǫh,ga-gye-hsǫ-h,ga-gye-hsǫ-h,3sa-fly-dist-stat,they are flying here and there,
gra̲hedǫˀ,g-ra̲hed-ǫ-ˀ,g-rahed-ǫ-ˀ,3nsa-tree-dist-stat,forest,
a̲ˀe:gęˀ,a̲ˀ-e:-gę-ˀ,aˀ-ye-gę-ˀ,fact-3fsa-see-punc,she saw it,
de̲ˀagode̲ˀgwęh,de̲ˀ-ago-de̲ˀgw-ęh,deˀ-yago-adeˀgw-ęh,neg-3fsa-flee-stat,she did not flee,
a̲ˀa:gęˀ,a̲ˀ-a:g-ę-ˀ,aˀ-yago-ę-ˀ,fact-3fsa-say-punc,she said,
tga:gǫ:t,t-ga:-gǫ:t-.,d-ga-gǫt-.,cis-3nsa-be.necessary-stat,it is necessary,
dęye:gę:niˀ,d-ę-ye:-gę:ni-ˀ,de-ę-ye-gęni-ˀ,dual-fut-3fsa-beat-punc,one will beat it,
ojihsdaˀ,o-jihsd-aˀ,o-jihsd-aˀ,3nso-fire-nsf,fire,
gwa:dih,gwa:dih,gwadih,direction,direction,
a̲ˀǫgyęˀ,a̲ˀ-ǫ-gyę-ˀ,aˀ-ye-agyę-ˀ,fact-3fsa-sit-punc,she sat,
a̲ˀǫdegaˀtgo:wah,a̲ˀ-ǫ-deg-a-ˀt-go:wah,aˀ-ye-adeg-a-ˀt-go:wah,fact-3fsa-burn-j-caus-augment,she made a big fire,
a̲ˀeˀsgwa:ge̲hǫˀ,a̲ˀ-e-ˀsgwa:-ge̲hǫ-ˀ,aˀ-ye-ˀsgwara-gehǫ-ˀ,fact-3fsa-stone-lay.down-punc,she laid down stones,
odekaˀ,o-dek-aˀ,yo-adeg-haˀ,3nso-burn-hab,it burns,
ęgatnęyǫ:dęˀ,ę-g-at-nęy-ǫ:d-ęˀ,ę-g-ad-nęy-ǫd-ęˀ,fut-1sa-sr-stone-bake-punc,I will bake stones,
etsgo:t,e-tsgo:t-.,ye-itsgot-.,3fsa-sit-stat,she sits,
godęˀnigǫha:ˀ,go-dę-ˀnigǫh-a:-ˀ,yago-adę-ˀnigǫhr-a-r-aˀ,3fso-sr-mind-put-stat,she looks after it,
tawe:nǫ:h,t-aw-e:n-ǫ:h,d-ho-en-ǫh,cis-3mso-go-stat,he came there,
ganhoga̲hę:t,ga-nho-ga̲hę:t-.,ga-nho-gahęt-.,3nsa-door-hole-stat,doorway,
a̲ˀtgęˀdrǫ:daˀ,a̲ˀ-t-gę-ˀdrǫ:d-aˀ,aˀ-d-ga-iˀdrǫd-aˀ,fact-dual-3nsa-land-punc,it landed,
ohdrǫhk,o-hdrǫhk-.,yo-ahdrǫhk-.,3nso-be.frightening,it is frightening,
nigayaˀdoˀdę:h,ni-ga-yaˀd-oˀdę-:h,ni-ga-yaˀd-oˀdę-:h,part-3nsa-body-be.type-stat,how its body is,
oyǫ:dih,o-yǫ:di-h,yo-yǫdi-h,3nso-smile-stat,it smiled,
haˀdwatga̲htoˀ,h-aˀ-d-w-atga̲htw-ˀ,he-aˀ-d-w-ad-gaht-oˀ,trans-fact-cis-3nsa-look-punc,it looked over there,
a:we:t,a:w-e:t-.,yo-e:t-.,3nso-be.pretend-stat,it is fake/pretend,
gokǫ:ni:h,go-k-ǫ:ni-:h,yago-kw-ǫni-:h,3fso-dish-make-stat,she cooked,
a̲ˀe:k,a̲ˀ-e:-k-.,aˀ-ye-k-.,fact-3fsa-eat-stat,she ate,
deyo:tnę:yǫ:t,de-yo:-t-nę:y-ǫ:t-.,de-yo-at-nęy-ǫd-.,dual-3nso-sr-rock-bake-stat,she baked stones,
gaˀsgwa:ˀ,ga-ˀsgwa-:ˀ,ga-ˀsgwar-aˀ,3nsa-rock-nsf,rocks,
ogaˀǫh,o-gaˀ-ǫh,yo-gaˀ-ǫh,3nso-be.tasty-stat,its tasty,
niyogaˀǫh,ni-yo-gaˀ-ǫh,ni-yo-gaˀ-ǫh,part-3nso-be.tasty-stat,how tasty it is,
ǫ:dǫh,ǫ:-dǫ-h,ye-adǫ-h,3fsa-say-stat,she had said,
de̲ˀdwagegǫh,de̲ˀ-d-wage-g-ǫh,deˀ-d-wage-g-ǫh,neg-cis-1so-eat-stat,I haven't eaten,
na:yogaˀǫhę:k,n-a:-yo-gaˀ-ǫh-ę:-k,ni-a:-yo-gaˀ-ǫh-ę:k,part-opt-3nso-stat-cont,how delicious it should be,
o̲ˀwahagaˀǫh,o̲-ˀwah-a-gaˀ-ǫh,yo-ˀwah-a-gaˀ-ǫh,3nso-meat-j-be.tasty-stat,it is tasty meat,
otǫ:deˀ,o-tǫ:de-ˀ,yo-atǫde-ˀ,3nso-hear-stat,it heard,
a̲ˀwahsgane:k,a̲ˀ-w-ahsgane:k-.,aˀ-w-ahsganek-.,fact-3nso-be.tempted-punc,it was tempted,
a̲ˀdwatsaga:ˀ,a̲ˀ-d-w-at-sag-a:ˀ-.,aˀ-d-w-at-hsag-a-raˀw-.,fact-dual-3nsa-sr-mouth-j-open-punc,it opened its mouth,
haˀgahsˀaht,h-aˀ-ga-hsˀaht-.,he-aˀ-ga-hsˀaht-.,trans-fact-3nsa-consume-punc,it consumed it,
oˀsgwa:nhohsrot,o-ˀsgwa:-nhohsrot-.,yo-ˀsgar-a-nhohsrod-.,3nso-rock-piled-stat,pile of rocks,
heyaǫnęhdǫh,he-ya-ǫnęhd-ǫh,he-yo-ǫnęhd-ǫh,trans-3nso-swallow-stat,it swallowed,
deyohe:hdǫh,de-yo-he:hd-ǫh,de-yo-herehd-ǫh,dual-3nso-scream-stat,it screamed,
otǫdeˀǫh,o-tǫde-ˀ-ǫh,yo-atǫde-ˀ-ǫh,3nso-hear-inch-stat,it was heard,
deyowaya:ˀe:h,de-yo-waya:-ˀe-:h,de-yo-wayar-a-ˀe-:h,dual-3nso-wing-flap-stat,it flapped its wing,
odeˀgwęh,o-de-ˀgw-ęh,yo-ade-ˀgw-ęh,3nso-sr-flee-stat,it fled,
deyohe:hda̲hneˀ,de-yo-he:hd-a̲-hn-eˀ,de-yo-herehd-a-hn-eˀ,dual-3nso-scream-j-disloc-stat,it went and screamed,
gahadaędǫnyǫˀ,ga-had-a-ęd-ǫ-nyǫ-ˀ,ga-had-a-yęd-ǫnyǫ-ˀ,3nsa-forest-j-lie-dist-dist-stat,the forests,
ęyohǫgaˀt,ę-yo-hǫg-a-ˀt-.,ę-yo-ahǫg-a-ˀd-.,fut-3nso-hear-j-caus-punc,it will be heard,
a̲ˀdyǫhwętsaihęh,a̲ˀ-d-y-ǫhwęts-a-ih-ęh,aˀ-d-yo-ǫhwęts-a-ih-ęh,fact-dual-3nso-land-j-warm-stat,the land got warm,
dagęna̲ˀsęhda̲hnǫˀ,d-a-gęn-a̲ˀsęhd-a̲-hnǫ-ˀ,d-aˀ-gęn-aˀsehd-a-hnǫ-ˀ,cis-fact-3mpa-fall-j-dist-stat,they dropped here and there,
haˀwadęnǫwaę:ˀ,h-aˀ-w-ad-ęnǫwaę-:ˀ,he-aˀ-w-ad-ęnǫwaę-:ˀ,trans-fact-3nsa-sr-sink-punc,it dropped,
de̲ˀtsohǫ:gaˀt,de̲ˀ-ts-o-hǫ:g-a-ˀt-.,deˀ-s-yo-ahǫg-a-ˀd-.,neg-rep-3nso-hear-j-caus-stat,it wasn't heard again,
de̲ˀsha:go:gęh,de̲ˀ-sha:go:-gę-h,deˀ-s-yago-gę-h,neg-rep-3fso-see-stat,it wasn't seen again,
heya:we:nǫh,he-ya:w-e:n-ǫh,he-yo-en-ǫh,trans-3nso-go-stat,it went over there,
ena:greˀ,e-na:gre-ˀ,ye-nagre-ˀ,3fsa-reside-dist-stat,they reside,
dyagoˀnigǫhęhsgǫ:h,d-yago-ˀnigǫh-ę-hsg-ǫ:h,d-yago-ˀnigǫhr-ę-hsg-ǫ:h,cis-3fso-mind-fall-facil-stat,they forget easily,
niyagodi:hoˀdę:h,ni-yagodi-:h-oˀdę-:h,ni-yagodi-rihw-oˀdę-:h,part-3fpo-matter-be.type-stat,how their ways are,
shago:wi:h,shago:-wi-:h,shago-awi-:h,3ms>3p-give-stat,he gave them,
ganyo:ˀ,ga-nyo-:ˀ,ga-ryo-:ˀ,3nsa-kill-stat,animals,
tshaˀhaǫ̲hwętsa:da:t,tsh-aˀ-ha-ǫ̲hwęts-a:-da:t-.,tsh-aˀ-ho-ǫhwęts-a-dad-.,coin-fact-3mso-land-j-create-punc,when he created the earth,
hadiksaˀshǫ:ˀah,hadi-ks-aˀ-shǫ:ˀ-ah,hadi-ks-aˀ-shǫˀ-ah,3mpa-child-nsf-dist-dim,boys,
honęnǫ̲hdǫˀ,hon-ęnǫ̲hdǫ-ˀ,hon-ęnǫhdǫ-ˀ,3mpo-know-stat,they know,
niyoihowanęh,ni-yo-ih-owanę-h,ni-yo-rihw-owanę-h,part-3nso-matter-be.big-stat,how important the matter is,
a:hęnadewa:yę:s,a:-hęn-ade-wa:yę:-s-.,a:-hęn-ade-wayę-sd-.,opt-3mpa-sr-know.how-caus-punc,they should learn,
a:yoihwada:gyeˀ,a:-yo-ihw-a-d-a:-gye-ˀ,a:-yo-rihw-a-d-a-gye-ˀ,opt-3nso-matter-j-stand-j-prog-stat,it should continue,
hodita:gǫ̲hne:ˀ,hodi-ta:g-ǫ̲-hn-e:ˀ,hodi-tar-a-hgw-ǫh-ne:ˀ,3mpo-speak-stat-disloc-stat,they went discussing,
